Selling Duration (in days),Selling Price (in euros),stad,Bouwjaar
27,210000,dordrecht,1930
38,529500,dordrecht,1998
11,126000,dordrecht,1958
27,169500,dordrecht,1964
38,387500,dordrecht,2000
61,349000,dordrecht,1902
30,665000,dordrecht,1898
65,325000,dordrecht,1994
11,185000,dordrecht,2012
11,695000,dordrecht,2003
73,199000,dordrecht,1906
21,215000,dordrecht,1978
20,2e+05,dordrecht,1932
19,189000,dordrecht,1935
22,157500,dordrecht,1967
57,319000,dordrecht,1670
52,250000,dordrecht,1993
16,6e+05,dordrecht,1991
25,290000,dordrecht,2000
42,775000,dordrecht,1920
91,289000,dordrecht,1964
30,340000,dordrecht,1995
17,2e+05,dordrecht,1908
227,485000,dordrecht,2000
24,239500,dordrecht,1983
29,199000,dordrecht,1962
16,250000,dordrecht,1982
131,625000,dordrecht,1933
105,3e+05,dordrecht,1929
42,210000,dordrecht,1982
103,697500,dordrecht,1998
27,250000,dordrecht,1984
78,285000,dordrecht,1961
141,219500,dordrecht,1958
225,362000,dordrecht,2020
70,177000,dordrecht,1928
12,225000,dordrecht,1993
14,437500,dordrecht,1977
4,239500,dordrecht,1981
25,165000,dordrecht,1962
308,675000,dordrecht,2000
315,699500,dordrecht,1991
21,350000,dordrecht,1995
23,295000,dordrecht,1991
43,275000,dordrecht,1982
41,285000,dordrecht,1952
42,275000,dordrecht,1981
114,290000,dordrecht,1991
73,225000,dordrecht,1875
29,295000,dordrecht,1997
31,235000,dordrecht,1925
16,495000,dordrecht,2005
20,240000,dordrecht,1982
31,180000,dordrecht,1953
34,139000,dordrecht,1964
21,2e+05,dordrecht,1926
1087,1100000,dordrecht,1962
38,257500,dordrecht,1800
22,185000,dordrecht,1908
17,675000,dordrecht,2007
109,235000,dordrecht,1976
26,229000,dordrecht,1922
41,330000,dordrecht,1994
21,150000,dordrecht,1962
22,169500,dordrecht,1980
60,309000,dordrecht,1972
238,407500,dordrecht,2020
20,299000,dordrecht,1735
26,515000,dordrecht,1954
119,236000,dordrecht,2010
21,195000,dordrecht,1931
18,225000,dordrecht,1975
0,265000,dordrecht,1937
14,275000,dordrecht,1973
52,269000,dordrecht,1969
36,222000,dordrecht,1926
11,275000,dordrecht,1975
34,172500,dordrecht,1934
16,169000,dordrecht,1915
26,259000,dordrecht,1967
47,259500,dordrecht,1956
34,235000,dordrecht,2006
20,139000,dordrecht,1962
25,250000,dordrecht,1900
77,335000,dordrecht,1997
25,225000,dordrecht,1983
32,180000,dordrecht,1910
10,175000,dordrecht,1922
34,289500,dordrecht,1982
12,189000,dordrecht,1937
35,299500,dordrecht,1994
49,242000,dordrecht,1977
215,660200,dordrecht,2020
214,546900,dordrecht,2020
130,350000,dordrecht,2020
104,350000,dordrecht,2020
132,350000,dordrecht,2020
135,345500,dordrecht,2020
20,195000,dordrecht,1983
97,489500,dordrecht,1998
26,160000,dordrecht,1957
14,275000,dordrecht,1995
18,350000,dordrecht,1995
231,7e+05,dordrecht,2008
54,189000,dordrecht,1909
179,695000,dordrecht,1929
41,350000,dordrecht,1999
19,3e+05,dordrecht,1994
27,180000,dordrecht,1953
36,275000,dordrecht,1994
26,240000,dordrecht,1957
635,695000,dordrecht,2006
46,280000,dordrecht,2008
29,475000,dordrecht,2003
28,255000,dordrecht,1968
70,219500,dordrecht,1987
13,225000,dordrecht,1975
36,175000,dordrecht,1983
7,167500,dordrecht,1968
14,250000,dordrecht,1976
35,399000,dordrecht,1999
10,309000,dordrecht,1970
13,150000,dordrecht,1962
1,175000,dordrecht,1965
38,259000,dordrecht,1987
30,419000,dordrecht,1981
20,235000,dordrecht,1937
21,265000,dordrecht,1997
39,269500,dordrecht,1968
17,169000,dordrecht,1975
17,239000,dordrecht,1934
16,490000,dordrecht,2000
40,239000,dordrecht,1982
30,2e+05,dordrecht,1993
41,182500,dordrecht,1934
22,265000,dordrecht,1988
13,182500,dordrecht,1958
26,529000,dordrecht,1997
17,219000,dordrecht,2006
17,290000,dordrecht,1989
25,175000,dordrecht,1975
34,150000,dordrecht,1965
42,215000,dordrecht,2005
28,435000,dordrecht,1930
24,150000,dordrecht,1960
12,120000,dordrecht,1952
241,372000,dordrecht,2020
274,579000,dordrecht,1906
-13,225000,dordrecht,1934
16,315000,dordrecht,1932
43,250000,dordrecht,1976
24,195000,dordrecht,1977
17,339000,dordrecht,1969
22,195000,dordrecht,1953
11,1e+05,dordrecht,1915
16,125000,dordrecht,1954
16,180000,dordrecht,1953
18,178000,dordrecht,1953
35,265000,dordrecht,1976
25,285000,dordrecht,2017
27,125000,dordrecht,1982
21,439000,dordrecht,1910
9,120000,dordrecht,1958
360,249950,dordrecht,1980
18,195000,dordrecht,1910
7,459000,dordrecht,2003
9,2e+05,dordrecht,1982
502,1275000,dordrecht,2008
74,245000,dordrecht,1977
22,175000,dordrecht,1954
50,225000,dordrecht,1979
21,117000,dordrecht,1958
84,140000,dordrecht,1959
32,164000,dordrecht,1982
15,165000,dordrecht,1977
0,750000,dordrecht,1932
247,364000,dordrecht,2020
42,315000,dordrecht,2016
13,395000,dordrecht,1932
7,280000,dordrecht,1999
23,2e+05,dordrecht,1978
21,2e+05,dordrecht,1938
18,187000,dordrecht,1958
112,3e+05,dordrecht,1997
29,259000,dordrecht,1981
27,189500,dordrecht,1932
18,389500,dordrecht,1994
21,189000,dordrecht,1980
11,299000,dordrecht,1988
42,215000,dordrecht,1931
36,165000,dordrecht,2007
36,120000,dordrecht,1953
30,425000,dordrecht,1924
23,250000,dordrecht,1980
35,212300,dordrecht,1982
25,250000,dordrecht,1935
196,604200,dordrecht,2020
19,315000,dordrecht,1934
51,250000,dordrecht,1930
16,339500,dordrecht,1976
10,257000,dordrecht,1984
19,419000,dordrecht,1991
33,219500,dordrecht,1978
206,565000,dordrecht,2019
33,344500,dordrecht,1918
103,374500,dordrecht,1999
20,365000,dordrecht,1906
8,279000,dordrecht,1651
36,225000,dordrecht,1977
49,165000,dordrecht,1938
0,495000,dordrecht,1953
187,652500,dordrecht,2020
188,578750,dordrecht,2020
95,199500,dordrecht,1935
25,895000,dordrecht,1951
17,175000,dordrecht,1981
26,398000,dordrecht,1906
21,3e+05,dordrecht,1985
19,375000,dordrecht,1962
15,175000,dordrecht,1975
84,350000,dordrecht,1873
28,339000,dordrecht,
34,460000,dordrecht,2004
22,250000,dordrecht,1985
19,319000,dordrecht,1982
63,399000,dordrecht,1910
17,189000,dordrecht,1978
50,375000,dordrecht,1998
112,225000,dordrecht,1976
23,289000,dordrecht,1973
13,165000,dordrecht,1975
34,525000,dordrecht,1972
57,750000,dordrecht,2009
12,319000,dordrecht,2011
25,173500,dordrecht,1910
19,349000,dordrecht,1976
187,577200,dordrecht,2020
7,197500,dordrecht,1934
14,175000,dordrecht,1957
356,649000,dordrecht,2019
371,659000,dordrecht,2019
346,689000,dordrecht,2019
14,335000,dordrecht,1998
24,375000,dordrecht,1989
36,545000,dordrecht,1936
41,549000,dordrecht,2005
29,650000,dordrecht,1906
22,289000,dordrecht,1995
55,315000,dordrecht,2013
171,350000,dordrecht,2001
8,175000,dordrecht,1978
20,449500,dordrecht,2004
22,325000,dordrecht,1933
30,259000,dordrecht,1992
33,585000,dordrecht,1919
45,375000,dordrecht,2001
34,205000,dordrecht,2010
0,175000,dordrecht,1975
14,120000,dordrecht,1965
17,299000,dordrecht,2006
48,375000,dordrecht,1927
27,369500,dordrecht,1969
19,165000,dordrecht,1978
124,245000,dordrecht,2002
28,165000,dordrecht,1933
13,150000,dordrecht,1978
21,189500,dordrecht,2008
83,138000,dordrecht,1958
41,179950,dordrecht,1954
27,495000,dordrecht,1995
10,410000,dordrecht,2008
22,265000,dordrecht,1962
29,275000,dordrecht,1994
133,422500,dordrecht,2007
34,152000,dordrecht,1911
168,1300000,dordrecht,2020
14,219000,dordrecht,1909
20,245000,dordrecht,1984
52,375000,dordrecht,1971
14,245000,dordrecht,1934
21,255000,dordrecht,1967
20,169000,dordrecht,1976
-1,450000,dordrecht,1882
16,415000,dordrecht,2019
28,150000,dordrecht,1964
59,285000,dordrecht,1969
21,174000,dordrecht,1975
46,895800,dordrecht,2020
46,675800,dordrecht,2020
46,599800,dordrecht,2020
124,657500,dordrecht,2020
46,657500,dordrecht,2020
46,599800,dordrecht,2020
46,655800,dordrecht,2020
46,565800,dordrecht,2020
119,599800,dordrecht,2020
107,565800,dordrecht,2020
46,565800,dordrecht,2020
107,527500,dordrecht,2020
107,525800,dordrecht,2020
107,517500,dordrecht,2020
62,505800,dordrecht,2020
107,497500,dordrecht,2020
128,495800,dordrecht,2020
107,432500,dordrecht,2020
81,422500,dordrecht,2020
107,422500,dordrecht,2020
46,422500,dordrecht,2020
91,578750,dordrecht,2020
56,578750,dordrecht,2020
107,578750,dordrecht,2020
99,289500,dordrecht,1997
78,185000,dordrecht,1910
16,2e+05,dordrecht,1906
21,165000,dordrecht,1650
61,125000,dordrecht,1920
62,90000,dordrecht,1952
74,325000,dordrecht,2004
34,299000,dordrecht,2012
23,250000,dordrecht,1981
20,229500,dordrecht,1978
55,250000,dordrecht,1987
8,150000,dordrecht,1959
43,155000,dordrecht,1935
20,2e+05,dordrecht,2012
43,219500,dordrecht,1937
110,180000,dordrecht,1955
37,449500,dordrecht,1938
63,117500,dordrecht,1959
-1,130000,dordrecht,1954
-1,275000,dordrecht,1997
21,495000,dordrecht,2018
17,165000,dordrecht,1961
74,175000,dordrecht,1958
25,225000,dordrecht,1992
59,250000,dordrecht,1910
15,170000,dordrecht,1922
86,2e+05,dordrecht,1958
21,2e+05,dordrecht,1963
20,265000,dordrecht,1982
18,310000,dordrecht,1995
19,229500,dordrecht,1933
46,450000,dordrecht,1932
21,525000,dordrecht,2005
25,159000,dordrecht,1978
472,649000,dordrecht,1968
24,189500,dordrecht,1932
32,189000,dordrecht,1910
72,145000,dordrecht,2008
35,229500,dordrecht,1958
41,364500,dordrecht,1972
20,175000,dordrecht,1983
266,769000,dordrecht,2019
96,144000,dordrecht,1960
57,320000,dordrecht,2012
22,315000,dordrecht,1933
120,335000,dordrecht,1998
33,225000,dordrecht,1926
28,249000,dordrecht,1984
21,135000,dordrecht,1968
32,215000,dordrecht,1980
24,169000,dordrecht,1962
14,679500,dordrecht,2019
36,215000,dordrecht,1938
66,125000,dordrecht,1920
74,230000,dordrecht,2012
38,169500,dordrecht,1966
-1,145000,dordrecht,1964
-1,325000,dordrecht,1924
-1,209000,dordrecht,1979
26,265000,dordrecht,1967
17,265000,dordrecht,1988
122,259000,dordrecht,1989
19,169000,dordrecht,1977
49,239000,dordrecht,1977
21,345000,dordrecht,1934
33,285000,dordrecht,1995
14,2e+05,dordrecht,1900
26,210000,dordrecht,1911
159,215000,dordrecht,1981
50,255000,dordrecht,1967
29,210000,dordrecht,1931
30,345000,dordrecht,1900
28,217500,dordrecht,1981
47,269500,dordrecht,1989
24,189500,dordrecht,1921
38,265000,dordrecht,1986
18,279000,dordrecht,1991
30,290000,dordrecht,1972
22,385000,dordrecht,1890
19,169000,dordrecht,1978
117,219500,dordrecht,1970
1,150000,dordrecht,1957
17,349000,dordrecht,1700
29,279000,dordrecht,1991
21,210000,dordrecht,1982
23,259000,dordrecht,1973
69,180000,dordrecht,1959
21,275000,dordrecht,2008
37,375000,dordrecht,1969
28,235000,dordrecht,1991
23,150000,dordrecht,1968
21,169000,dordrecht,1976
21,375000,dordrecht,2017
60,218000,dordrecht,1948
70,117500,dordrecht,1959
25,195000,dordrecht,1890
74,205000,dordrecht,1932
12,155000,dordrecht,1976
169,189000,dordrecht,1901
84,171250,dordrecht,1952
23,395000,dordrecht,1924
61,189000,dordrecht,1903
19,165000,dordrecht,1932
32,250000,dordrecht,1977
9,199500,dordrecht,1931
27,279500,dordrecht,1980
18,339000,dordrecht,1995
45,215000,dordrecht,1937
101,250000,dordrecht,1937
50,275000,dordrecht,1995
13,171500,dordrecht,1968
59,152500,dordrecht,1915
0,199000,dordrecht,1979
218,367000,dordrecht,2020
69,165000,dordrecht,1934
17,3e+05,dordrecht,1973
14,875000,dordrecht,1913
36,325000,dordrecht,2000
21,224500,dordrecht,1922
45,299000,dordrecht,1931
14,285000,dordrecht,1989
218,417500,dordrecht,2020
69,575000,dordrecht,1994
19,259500,dordrecht,1983
22,259500,dordrecht,1971
23,259500,dordrecht,1976
21,150000,dordrecht,1978
70,115000,dordrecht,1959
28,165000,dordrecht,1955
9,164000,dordrecht,1931
20,3e+05,dordrecht,1995
68,111000,dordrecht,1959
27,290000,dordrecht,1999
24,275000,dordrecht,1986
227,292500,dordrecht,2020
227,287500,dordrecht,2020
8,167500,dordrecht,1750
23,199000,dordrecht,1905
19,195000,dordrecht,1910
32,269000,dordrecht,1988
43,169000,dordrecht,1975
397,669000,dordrecht,1969
11,250000,dordrecht,1983
60,190000,dordrecht,1949
18,525000,dordrecht,2017
18,439000,dordrecht,1920
23,259000,dordrecht,1975
10,250000,dordrecht,1998
18,245000,dordrecht,1940
27,289500,dordrecht,1938
0,2e+05,dordrecht,1933
12,339000,dordrecht,1977
26,147500,dordrecht,1959
32,225000,dordrecht,1980
47,150000,dordrecht,1932
73,485000,dordrecht,1885
28,225000,dordrecht,1972
18,225000,dordrecht,1904
27,244500,dordrecht,1975
34,250000,dordrecht,1999
16,340000,dordrecht,1972
33,279500,dordrecht,1967
23,395000,dordrecht,1995
34,192500,dordrecht,1986
81,429500,dordrecht,2001
54,359500,dordrecht,1939
53,250000,dordrecht,2008
18,159000,dordrecht,1978
26,219000,dordrecht,1908
35,299000,dordrecht,1997
16,162500,dordrecht,1936
73,269900,dordrecht,1988
146,249000,dordrecht,1936
30,275000,dordrecht,1956
19,175000,dordrecht,1976
18,359000,dordrecht,1996
14,115000,dordrecht,1960
17,120000,dordrecht,1954
89,252500,dordrecht,1972
20,117500,dordrecht,1959
20,295000,dordrecht,1933
37,489000,dordrecht,1912
40,298000,dordrecht,1900
23,298000,dordrecht,1700
9,150000,dordrecht,1935
58,350000,dordrecht,2011
17,155000,dordrecht,1976
13,165000,dordrecht,1928
200,364500,dordrecht,2020
24,229500,dordrecht,1935
33,183500,dordrecht,1938
26,225000,dordrecht,1971
34,169500,dordrecht,2012
9,135000,dordrecht,1962
24,267500,dordrecht,1988
27,445000,dordrecht,1977
18,349000,dordrecht,1962
24,214500,dordrecht,1979
13,150000,dordrecht,1959
54,185000,dordrecht,1964
21,255000,dordrecht,1973
28,312500,dordrecht,2013
25,175000,dordrecht,1924
27,750000,dordrecht,1875
172,158500,dordrecht,1910
43,150000,dordrecht,1962
13,759000,dordrecht,2019
21,297500,dordrecht,1974
14,475000,dordrecht,2005
25,385000,dordrecht,1938
34,259000,dordrecht,1987
89,275000,dordrecht,1924
24,159000,dordrecht,1957
32,215000,dordrecht,1982
34,189500,dordrecht,1978
54,235000,dordrecht,1980
27,242000,dordrecht,1992
13,310000,dordrecht,1998
23,3e+05,dordrecht,1975
9,465000,dordrecht,2008
10,325000,dordrecht,1971
18,209500,dordrecht,1926
28,225000,dordrecht,1970
14,135000,dordrecht,1962
126,769000,dordrecht,2005
32,389000,dordrecht,1991
14,398000,dordrecht,1987
40,225000,dordrecht,1934
25,275000,dordrecht,1973
55,525000,dordrecht,2003
20,185000,dordrecht,1910
26,165000,dordrecht,1966
26,235000,dordrecht,1980
21,289000,dordrecht,1961
89,250000,dordrecht,1977
146,199000,dordrecht,1958
86,265000,dordrecht,1921
18,169500,dordrecht,1980
23,442500,dordrecht,1961
113,225000,dordrecht,1986
22,189000,dordrecht,1975
28,233000,dordrecht,1983
13,380000,dordrecht,1898
23,235000,dordrecht,1982
17,285000,dordrecht,1995
22,235000,dordrecht,1932
41,310000,dordrecht,1972
28,365000,dordrecht,1962
11,170000,dordrecht,1928
17,225000,dordrecht,1982
19,157500,dordrecht,1959
60,155000,dordrecht,1959
134,535000,dordrecht,2019
25,395000,dordrecht,1926
23,375000,dordrecht,1995
28,165000,dordrecht,1961
16,339000,dordrecht,1990
165,214000,dordrecht,2012
72,165000,dordrecht,1976
26,250000,dordrecht,1980
33,459000,dordrecht,1998
13,170000,dordrecht,1978
20,195000,dordrecht,1931
32,189500,dordrecht,1939
19,175000,dordrecht,1964
